time_ms;speed_kmh;rpm;throttle;battery_temp;g_force_lat;g_force_long;g_force_vert;acceleration_x;acceleration_y;acceleration_z;gps_latitude;gps_longitude;gps_altitude;tire_temp_fl;tire_temp_fr;tire_temp_rl;tire_temp_rr
439;0.0;800;0.0;56.0;0.0;0.0;0.91;0.0;0.0;8.9;43.2509;5.79511;150.0;75.0;75.0;73.0;73.0
538;0.0;800;0.0;56.0;0.0;0.0;0.92;0.0;0.0;9.0;43.2509;5.79512;150.0;75.0;75.0;73.0;73.0
636;0.0;800;0.0;56.0;0.0;0.0;1.01;0.0;0.0;9.9;43.2509;5.79513;150.0;75.0;75.0;73.0;73.0
736;0.0;800;0.0;56.0;0.0;0.0;1.09;0.0;0.0;10.7;43.2509;5.79514;150.0;75.0;75.0;73.0;73.0
835;0.0;800;0.0;56.0;0.0;0.0;1.09;0.0;0.0;10.7;43.2509;5.79515;150.0;75.0;75.0;73.0;73.0
935;0.0;800;0.0;56.0;0.0;0.0;1.01;0.0;0.0;9.9;43.2509;5.79516;150.0;75.0;75.0;73.0;73.0
1034;0.0;800;0.0;56.0;0.0;0.0;0.92;0.0;0.0;9.0;43.2509;5.79517;150.0;75.0;75.0;73.0;73.0
1134;0.8;950;0.02;56.2;0.0;0.8;0.91;0.0;7.8;8.9;43.2509;5.79518;150.0;75.0;75.0;73.0;73.0
1233;1.6;1100;0.04;56.4;0.0;0.8;0.98;0.0;7.8;9.6;43.2509;5.79519;150.0;75.0;75.0;73.0;73.0
1335;2.4;1250;0.06;56.6;0.0;0.8;1.07;0.0;7.8;10.5;43.2509;5.7952;150.0;75.0;75.0;73.0;73.0
1436;3.2;1400;0.08;56.7;0.0;0.8;1.1;0.0;7.8;10.8;43.2509;5.79521;150.0;74.9;74.9;73.0;73.0
1539;4.0;1550;0.1;56.9;0.0;0.8;1.03;0.0;7.8;10.1;43.2509;5.79522;150.0;74.9;74.9;73.0;73.0
1640;4.8;1700;0.12;57.1;0.0;0.8;0.94;0.0;7.8;9.2;43.2509;5.79523;150.0;74.9;74.9;72.9;72.9
1741;5.6;1850;0.14;57.3;0.0;0.8;0.9;0.0;7.8;8.8;43.2509;5.79524;150.0;74.9;74.9;72.9;72.9
1842;6.4;2000;0.16;57.5;0.0;0.8;0.96;0.0;7.8;9.4;43.2509;5.79525;150.0;74.9;74.9;72.9;72.9
1943;7.2;2150;0.18;57.7;0.0;0.8;1.05;0.0;7.8;10.3;43.2509;5.79526;150.0;74.9;74.9;72.9;72.9
2044;8.0;2300;0.2;57.9;0.0;0.8;1.1;0.0;7.8;10.8;43.2509;5.79527;150.0;74.9;74.9;72.9;72.9
2147;8.8;2450;0.22;58.1;0.0;0.8;1.05;0.0;7.8;10.3;43.2509;5.79528;150.0;74.9;74.9;72.9;72.9
2248;9.6;2600;0.24;58.2;0.0;0.8;0.95;0.0;7.8;9.3;43.2509;5.79529;150.0;74.9;74.9;72.9;72.9
2350;10.4;2750;0.26;58.4;0.0;0.8;0.9;0.0;7.8;8.8;43.2509;5.7953;150.0;74.9;74.9;72.9;72.9
2451;11.2;2900;0.28;58.6;0.0;0.8;0.94;0.0;7.8;9.2;43.2509;5.79531;150.0;74.9;74.9;72.9;72.9
2553;12.0;3050;0.3;58.8;0.0;0.8;1.04;0.0;7.8;10.2;43.2509;5.79532;150.0;74.9;74.9;72.9;72.9
2656;12.8;3200;0.32;59.0;0.0;0.8;1.1;0.0;7.8;10.8;43.2509;5.795331;150.0;74.9;74.9;72.9;72.9
2759;13.6;3350;0.34;59.2;0.0;0.8;1.06;0.0;7.8;10.4;43.2509;5.795341;150.0;74.9;74.9;72.9;72.9
2863;14.4;3500;0.36;59.4;0.0;0.8;0.97;0.0;7.8;9.5;43.2509;5.795351;150.0;74.9;74.9;72.9;72.9
2964;15.2;3650;0.38;59.6;0.0;0.8;0.9;0.0;7.8;8.8;43.2509;5.795361;150.0;74.9;74.9;72.9;72.9
3066;16.0;3800;0.4;59.7;0.0;0.8;0.93;0.0;7.8;9.1;43.2509;5.795371;150.0;74.9;74.9;72.9;72.9
